DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region;depa_nombre;muni_nombre;nombre_prestador;nit_prestador;clase_prestador;ese;naturaleza_juridica;caracter_territorial;nivel_atencion;nombre_sede_prestador;FECHA_RENOVACION_CICLO;FECHA_ULTIMA_ACREDITACION;fecha_vencimiento_acreditacion;fecha_generacion_este_reporte;field15;field16;field17;field18;field19;field20;field21;field22;field23;field24;field25;field26;field27;field28;field29;field30;field31;field32;field33;field34;field35;C�digo Municipio;Municipio:1;C�digo Departamento;Departamento:1;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;Valor agregado;Peso relativo municipal en el valor agregado departamental (%)
5;Antioquia;5628;SABANALARGA;292.2925521;9731;0.61;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85300;SABANALARGA;85;Casanare;10.30785819;2.873593142;59.33059364;72.51204497;0.3
5;Antioquia;5631;SABANETA;16.24354132;90253;0.11;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5631;SABANETA;5;Antioquia;11.44817572;1371.069475;3084.913526;4467.431177;2.1
5;Antioquia;5642;SALGAR;289.4808263;19448;0.569;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5642;SALGAR;5;Antioquia;207.7180295;21.55905813;229.4267946;458.7038823;0.2
5;Antioquia;5647;SAN ANDRES DE CUERQUIA;225.5323857;7697;0.541;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5647;SAN ANDRES DE CUERQUIA;5;Antioquia;26.76532384;5.552695525;79.37866314;111.6966825;0.1
5;Antioquia;5649;SAN CARLOS;688.3393346;17103;0.5;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5649;SAN CARLOS;5;Antioquia;37.11348647;62.48390498;1347.109079;1446.70647;0.7
5;Antioquia;5649;SAN CARLOS;688.3393346;17103;0.5;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23678;SAN CARLOS;23;Cordoba;166.616199;19.91781818;185.5825924;372.1166096;1.4
5;Antioquia;5652;SAN FRANCISCO;333.7145673;6048;0.504;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5652;SAN FRANCISCO;5;Antioquia;13.63151566;4.215759983;66.66740724;84.51468288;0
5;Antioquia;5652;SAN FRANCISCO;333.7145673;6048;0.504;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25658;SAN FRANCISCO;25;Cundinamarca;104.4835959;14.91245692;119.4328272;238.82888;0.3
5;Antioquia;5652;SAN FRANCISCO;333.7145673;6048;0.504;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86755;SAN FRANCISCO;86;Putumayo;5.622996953;3.406671534;34.74120085;43.77086934;0.8
5;Antioquia;5656;SAN JERONIMO;175.2383291;16609;0.509;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5656;SAN JERONIMO;5;Antioquia;38.81487109;16.409808;287.5946385;342.8193176;0.2
5;Antioquia;5658;SAN JOSE DE LA MONTA�A;132.6015084;3941;0.323;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5658;SAN JOSE DE LA MONTA�A;5;Antioquia;8.59033065;2.863228598;46.06613954;57.51969879;0
5;Antioquia;5659;SAN JUAN DE URABA;261.5254154;21853;0.613;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5659;SAN JUAN DE URABA;5;Antioquia;115.6042568;17.04314256;220.3195129;352.9669122;0.2
5;Antioquia;5660;SAN LUIS;409.3577462;13893;0.365;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5660;SAN LUIS;5;Antioquia;16.31730642;9.380659456;160.8836334;186.5815992;0.1
5;Antioquia;5660;SAN LUIS;409.3577462;13893;0.365;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73678;SAN LUIS;73;Tolima;190.7102018;19.95413716;110.083546;320.747885;1
5;Antioquia;5664;SAN PEDRO DE LOS MILAGROS;229.4716133;23751;0.399;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5664;SAN PEDRO DE LOS MILAGROS;5;Antioquia;247.3652377;720.9058834;417.0725844;1385.343705;0.7
5;Antioquia;5665;SAN PEDRO DE URABA;569.0047744;33393;0.528;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5665;SAN PEDRO DE URABA;5;Antioquia;205.7303457;27.1888312;328.5022004;561.4213772;0.3
5;Antioquia;5667;SAN RAFAEL;332.6564894;16753;0.45;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5667;SAN RAFAEL;5;Antioquia;15.55797325;10.40326277;173.6867851;199.6480211;0.1
5;Antioquia;5670;SAN ROQUE;427.3485569;23105;0.632;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5670;SAN ROQUE;5;Antioquia;87.42953786;16.65811541;235.0616698;339.149323;0.2
5;Antioquia;5674;SAN VICENTE;240.1110177;23714;0.684;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5674;SAN VICENTE;5;Antioquia;278.245974;27.36594862;278.4698791;584.0818017;0.3
5;Antioquia;5679;SANTA BARBARA;211.201637;28051;0.489;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5679;SANTA BARBARA;5;Antioquia;199.2837151;26.74916104;326.233735;552.2666112;0.3
5;Antioquia;5679;SANTA BARBARA;211.201637;28051;0.489;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52696;SANTA BARBARA;52;Nari�o;110.1832184;9.395374114;61.78063513;181.3592276;0.8
5;Antioquia;5679;SANTA BARBARA;211.201637;28051;0.489;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68705;SANTA BARBARA;68;Santander;8.851838932;2.489425299;28.13163164;39.47289587;0
5;Antioquia;5686;SANTA ROSA DE OSOS;938.5400875;39340;0.396;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5686;SANTA ROSA DE OSOS;5;Antioquia;443.5247914;299.9730719;658.2936959;1401.791559;0.7
5;Antioquia;5690;SANTO DOMINGO;248.7308;13163;0.719;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5690;SANTO DOMINGO;5;Antioquia;327.4688798;16.24682549;155.0097382;498.7254434;0.2
5;Antioquia;5697;EL SANTUARIO;75.78620955;38386;0.253;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5697;EL SANTUARIO;5;Antioquia;340.0836852;52.64026085;431.9003496;824.6242956;0.4
5;Antioquia;5736;SEGOVIA;1106.183453;41222;0.163;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5736;SEGOVIA;5;Antioquia;1275.626223;30.19978185;553.2276487;1859.053654;0.9
5;Antioquia;5756;SONSON;1474.651437;38784;0.476;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5756;SONSON;5;Antioquia;773.9821169;387.4570169;556.4777709;1717.916905;0.8
5;Antioquia;5761;SOPETRAN;210.5968624;16200;0.514;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5761;SOPETRAN;5;Antioquia;38.22170424;14.12061509;238.1617617;290.504081;0.1
5;Antioquia;5789;TAMESIS;255.8668002;17270;0.492;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5789;TAMESIS;5;Antioquia;227.4436922;39.03559605;215.8587367;482.3380249;0.2
5;Antioquia;5790;TARAZA;1047.139274;29306;0.476;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5790;TARAZA;5;Antioquia;87.26500677;22.12902195;378.9750359;488.3690646;0.2
5;Antioquia;5792;TARSO;127.2413312;6593;0.403;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5792;TARSO;5;Antioquia;81.35025031;8.325185485;89.64399374;179.3194295;0.1
5;Antioquia;5809;TITIRIBI;143.9869278;11457;0.5;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5809;TITIRIBI;5;Antioquia;63.21915001;9.542234761;131.0997353;203.8611201;0.1
5;Antioquia;5819;TOLEDO;111.7279881;5296;0.601;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5819;TOLEDO;5;Antioquia;23.47954891;5.692763799;92.44655218;121.6188649;0.1
